height;lenght;area;eccen;p_black;p_and;mean_tr;blackpix;blackand;wb_trans;Class
9;21;189;2333;.291;.762;1.57;55;144;35;Text
8;8;64;1000;.234;.328;5.00;15;21;3;Text
10;100;1000;10000;.436;.910;2.53;436;910;172;Text
9;85;765;9444;.302;.812;1.82;231;621;127;Text
9;32;288;3556;.302;.781;2.07;87;225;42;Text
11;101;1111;9182;.398;.888;2.76;442;987;160;Text
11;119;1309;10818;.261;.798;1.88;341;1045;181;Text
10;126;1260;12600;.425;.862;2.68;536;1086;200;Text
9;13;117;1444;.239;.462;4.67;28;54;6;Text
9;75;675;8333;.256;.606;2.19;173;409;79;Text
11;119;1309;10818;.236;.747;1.75;309;978;177;Text
10;44;440;4400;.393;.852;3.15;173;375;55;Text
9;40;360;4444;.356;.967;2.29;128;348;56;Text
8;48;384;6000;.302;.914;1.76;116;351;66;Text
9;44;396;4889;.460;.937;2.84;182;371;64;Text
9;47;423;5222;.274;.747;2.42;116;316;48;Text
9;40;360;4444;.319;.919;2.35;115;331;49;Text
3;116;348;38667;.356;.371;62.00;124;129;2;horiz_line
2;18;36;9000;.722;.722;26.00;26;26;1;horiz_line
3;132;396;44000;.505;.558;20.00;200;221;10;horiz_line
1;17;17;17000;.765;1.00;3.25;13;17;4;horiz_line
1;8;8;8000;1.00;1.00;8.00;8;8;1;horiz_line
2;69;138;34500;.623;.906;10.75;86;125;8;horiz_line
2;46;92;23000;.587;.761;18.00;54;70;3;horiz_line
11;77;847;7000;.345;.874;2.43;292;740;120;Text
9;41;369;4556;.301;.886;1.91;111;327;58;Text
1;57;57;57000;.456;1.00;3.71;26;57;7;horiz_line
1;10;10;10000;.900;1.00;9.00;9;10;1;horiz_line
14;185;2590;13214;.254;.651;2.27;657;1687;289;Text
10;152;1520;15200;.297;.778;2.17;452;1182;208;Text
2;116;232;58000;.616;.802;17.88;143;186;8;horiz_line
9;123;1107;13667;.362;.986;2.62;401;1091;153;Text
2;17;34;8500;.588;.971;6.67;20;33;3;horiz_line
10;131;1310;13100;.415;.857;2.74;543;1123;198;Text
1;12;12;12000;.583;1.00;3.50;7;12;2;Text
6;27;162;4500;.154;.481;2.78;25;78;9;Text
7;15;105;2143;.324;.762;3.09;34;80;11;Text
7;58;406;8286;.202;.751;2.34;82;305;35;Text
7;46;322;6571;.155;.587;4.17;50;189;12;Text
1;27;27;27000;.593;1.00;4.00;16;27;4;Text
7;17;119;2429;.227;.580;2.70;27;69;10;Text
2;31;62;15500;.194;.516;2.00;12;32;6;Text
1;12;12;12000;.583;1.00;3.50;7;12;2;Text
2;17;34;8500;.324;1.00;2.75;11;34;4;Text
2;11;22;5500;.409;.955;9.00;9;21;1;Text
2;19;38;9500;.237;1.00;1.80;9;38;5;Text
7;107;749;15286;.270;.654;1.60;202;490;126;Text
5;9;45;1800;.267;.778;1.71;12;35;7;Text
11;9;99;.818;.485;.727;6.00;48;72;8;Text
11;8;88;.727;.705;1.00;7.75;62;88;8;Text
11;8;88;.727;.443;.466;39.00;39;41;1;Text
11;7;77;.636;.597;1.00;5.75;46;77;8;Text
11;7;77;.636;.468;1.00;3.60;36;77;10;Text
11;9;99;.818;.475;.636;15.67;47;63;3;Text
11;8;88;.727;.511;.852;9.00;45;75;5;Text
1;43;43;43000;.907;1.00;9.75;39;43;4;horiz_line
10;38;380;3800;.387;.887;2.49;147;337;59;Text
8;20;160;2500;.500;1.00;2.76;80;160;29;Text
9;36;324;4000;.540;.929;2.87;175;301;61;Text
10;98;980;9800;.391;.835;2.41;383;818;159;Text
10;49;490;4900;.520;.961;2.97;255;471;86;Text
10;21;210;2100;.329;.843;2.56;69;177;27;Text
9;19;171;2111;.292;.760;2.63;50;130;19;Text
9;55;495;6111;.299;1.00;1.92;148;495;77;Text
9;14;126;1556;.127;.937;1.78;16;118;9;Text
8;23;184;2875;.288;1.00;1.47;53;184;36;Text
8;35;280;4375;.379;.886;1.66;106;248;64;Text
9;96;864;10667;.281;.815;1.96;243;704;124;Text
9;66;594;7333;.323;.805;2.00;192;478;96;Text
9;34;306;3778;.337;.817;1.81;103;250;57;Text
8;83;664;10375;.325;.908;1.76;216;603;123;Text
8;80;640;10000;.303;.922;1.72;194;590;113;Text
9;95;855;10556;.285;.723;2.10;244;618;116;Text
8;80;640;10000;.298;.883;1.72;191;565;111;Text
10;13;130;1300;.108;.685;2.33;14;89;6;Text
8;70;560;8750;.341;.918;1.66;191;514;115;Text
11;84;924;7636;.262;.820;1.69;242;758;143;Text
9;99;891;11000;.270;.818;1.93;241;729;125;Text
9;80;720;8889;.293;.868;1.85;211;625;114;Text
11;101;1111;9182;.239;.818;1.61;265;909;165;Text
12;26;312;2167;.221;1.00;1.60;69;312;43;Text
12;40;480;3333;.271;.733;1.97;130;352;66;Text
8;84;672;10500;.269;.966;1.79;181;649;101;Text
8;53;424;6625;.358;.981;1.54;152;416;99;Text
8;41;328;5125;.363;.942;1.63;119;309;73;Text
9;82;738;9111;.252;.740;2.00;186;546;93;Text
7;14;98;2000;.184;.612;18.00;18;60;1;Text
8;26;208;3250;.375;.947;1.77;78;197;44;Text
8;46;368;5750;.391;.951;1.85;144;350;78;Text
9;34;306;3778;.379;.961;1.71;116;294;68;Text
11;26;286;2364;.297;.941;2.02;85;269;42;Text
11;42;462;3818;.335;.829;2.25;155;383;69;Text
12;62;744;5167;.234;.660;1.58;174;491;110;Text
8;75;600;9375;.328;.888;1.86;197;533;106;Text
8;18;144;2250;.479;.986;2.16;69;142;32;Text
7;33;231;4714;.143;.844;2.36;33;195;14;Text
9;64;576;7111;.465;.899;2.58;268;518;104;Text
9;36;324;4000;.568;.932;3.02;184;302;61;Text
8;8;64;1000;.203;.344;4.33;13;22;3;Text
8;21;168;2625;.339;.673;1.97;57;113;29;Text
9;99;891;11000;.464;.942;2.52;413;839;164;Text
9;84;756;9333;.288;.791;1.83;218;598;119;Text
8;31;248;3875;.327;.790;1.84;81;196;44;Text
19;2;38;.105;.816;.816;31.00;31;31;1;vert_line
9;101;909;11222;.442;.861;2.68;402;783;150;Text
11;118;1298;10727;.260;.817;2.01;338;1061;168;Text
5;2;10;.400;.800;.800;8.00;8;8;1;vert_line
10;126;1260;12600;.410;.833;2.63;516;1049;196;Text
12;117;1404;9750;.220;.673;1.68;309;945;184;Text
9;35;315;3889;.263;.667;2.86;83;210;29;Text
9;46;414;5111;.292;.676;1.92;121;280;63;Text
10;2;20;.200;.550;.600;11.00;11;12;1;horiz_line
8;44;352;5500;.426;.938;3.26;150;330;46;Text
8;48;384;6000;.310;.807;1.92;119;310;62;Text
8;40;320;5000;.403;.991;2.53;129;317;51;Text
8;45;360;5625;.469;.956;2.91;169;344;58;Text
9;20;180;2222;.261;.556;2.35;47;100;20;Text
9;22;198;2444;.298;.965;2.11;59;191;28;Text
8;41;328;5125;.335;.933;2.08;110;306;53;Text
2;112;224;56000;.496;.504;55.50;111;113;2;horiz_line
1;45;45;45000;.756;1.00;5.67;34;45;6;horiz_line
1;75;75;75000;.813;1.00;5.55;61;75;11;horiz_line
8;43;344;5375;.349;.814;2.26;120;280;53;Text
11;301;3311;27364;.308;.735;2.22;1019;2435;458;Text
7;35;245;5000;.453;.873;2.47;111;214;45;Text
9;122;1098;13556;.339;.947;2.57;372;1040;145;Text
10;130;1300;13000;.425;.773;2.79;552;1005;198;Text
6;46;276;7667;.217;.804;2.00;60;222;30;Text
6;27;162;4500;.136;.673;2.00;22;109;11;Text
5;8;40;1600;.350;.675;4.67;14;27;3;Text
5;3;15;.600;.467;1.00;7.00;7;15;1;Text
5;35;175;7000;.200;.829;4.38;35;145;8;Text
4;47;188;11750;.298;.739;2.33;56;139;24;Text
3;31;93;10333;.226;.774;2.10;21;72;10;Text
3;16;48;5333;.375;.938;2.25;18;45;8;Text
7;122;854;17429;.281;.626;1.73;240;535;139;Text
11;21;231;1909;.411;.680;3.96;95;157;24;Text
11;8;88;.727;.375;.602;4.13;33;53;8;Text
11;9;99;.818;.465;.818;9.20;46;81;5;Text
10;8;80;.800;.500;1.00;5.00;40;80;8;Text
10;21;210;2100;.324;.600;3.40;68;126;20;Text
2;157;314;78500;.506;.551;26.50;159;173;6;horiz_line
10;38;380;3800;.439;.897;2.83;167;341;59;Text
9;36;324;4000;.549;.914;3.30;178;296;54;Text
8;20;160;2500;.525;.938;3.50;84;150;24;Text
10;96;960;9600;.418;.886;2.49;401;851;161;Text
9;49;441;5444;.594;.998;3.05;262;440;86;Text
1;32;32;32000;.719;1.00;5.75;23;32;4;horiz_line
1;52;52;52000;.788;1.00;10.25;41;52;4;horiz_line
1;13;13;13000;.692;1.00;4.50;9;13;2;horiz_line
9;23;207;2556;.304;1.00;1.62;63;207;39;Text
9;37;333;4111;.381;.808;2.05;127;269;62;Text
9;20;180;2222;.339;.872;2.35;61;157;26;Text
8;79;632;9875;.375;.956;2.12;237;604;112;Text
9;81;729;9000;.388;.897;2.38;283;654;119;Text
8;67;536;8375;.381;.746;2.49;204;400;82;Text
9;32;288;3556;.292;.826;1.53;84;238;55;Text
94;2;188;.021;.516;.516;97.00;97;97;1;vert_line
10;11;110;1100;.382;1.00;1.50;42;110;28;Text
10;64;640;6400;.295;.808;2.25;189;517;84;Text
10;83;830;8300;.295;.725;2.02;245;602;121;Text
12;73;876;6083;.257;.591;2.14;225;518;105;Text
8;17;136;2125;.353;.801;2.00;48;109;24;Text
9;12;108;1333;.407;.880;1.69;44;95;26;Text
9;82;738;9111;.343;.913;2.02;253;674;125;Text
8;53;424;6625;.370;.901;1.76;157;382;89;Text
11;83;913;7545;.274;.900;1.71;250;822;146;Text
10;81;810;8100;.279;.810;2.11;226;656;107;Text
9;82;738;9111;.329;.871;2.11;243;643;115;Text
11;100;1100;9091;.269;.765;1.90;296;842;156;Text
25;71;1775;2840;.234;.748;2.22;416;1328;187;Text
9;82;738;9111;.247;.935;2.09;182;690;87;Text
9;97;873;10778;.328;.921;1.77;286;804;162;Text
9;32;288;3556;.333;.861;1.68;96;248;57;Text
8;82;656;10250;.398;.951;2.51;261;624;104;Text
12;13;156;1083;.372;.981;2.32;58;153;25;Text
12;8;96;.667;.198;1.00;2.11;19;96;9;Text
12;43;516;3583;.293;.791;2.29;151;408;66;Text
8;75;600;9375;.415;.910;2.37;249;546;105;Text
11;84;924;7636;.251;.681;1.77;232;629;131;Text
2;123;246;61500;.500;.504;123.00;123;124;1;horiz_line
1;36;36;36000;.722;1.00;8.67;26;36;3;horiz_line
19;123;2337;6474;.089;.089;207.00;207;208;1;Text
8;6;48;.750;.500;.646;8.00;24;31;3;Text
10;65;650;6500;.445;.911;2.58;289;592;112;Text
9;37;333;4111;.598;.946;3.49;199;315;57;Text
9;20;180;2222;.339;.772;1.74;61;139;35;Text
4;8;32;2000;.344;.781;1.83;11;25;6;Text
10;100;1000;10000;.449;.874;2.82;449;874;159;Text
9;32;288;3556;.365;.781;2.23;105;225;47;Text
9;82;738;9111;.337;.817;2.01;249;603;124;Text
10;101;1010;10100;.466;.893;3.02;471;902;156;Text
12;116;1392;9667;.246;.707;1.99;343;984;172;Text
10;126;1260;12600;.463;.848;3.16;584;1068;185;Text
9;86;774;9556;.301;.647;2.22;233;501;105;Text
11;115;1265;10455;.266;.723;1.79;337;915;188;Text
4;2;8;.500;.875;.875;7.00;7;7;1;vert_line
9;44;396;4889;.465;.944;3.35;184;374;55;Text
8;46;368;5750;.348;.918;1.97;128;338;65;Text
8;40;320;5000;.391;.991;2.08;125;317;60;Text
9;45;405;5000;.442;.956;3.31;179;387;54;Text
8;45;360;5625;.367;.897;2.44;132;323;54;Text
8;41;328;5125;.424;.966;2.53;139;317;55;Text
1;19;19;19000;.789;1.00;3.75;15;19;4;horiz_line
1;9;9;9000;.778;1.00;7.00;7;9;1;horiz_line
8;42;336;5250;.363;.970;2.18;122;326;56;Text
14;339;4746;24214;.248;.547;2.44;1175;2596;481;Text
10;123;1230;12300;.362;.888;2.99;445;1092;149;Text
2;446;892;223.00;.439;.603;17.82;392;538;22;horiz_line
66;3;198;.045;.657;.909;2.60;130;180;50;vert_line
10;131;1310;13100;.456;.851;3.00;597;1115;199;Text
93;4;372;.043;.419;.565;2.89;156;210;54;vert_line
44;3;132;.068;.598;.841;2.47;79;111;32;vert_line
42;7;294;.167;.282;.432;2.18;83;127;38;vert_line
2;236;472;118.00;.566;.689;10.27;267;325;26;horiz_line
1;61;61;61000;1.00;1.00;61.00;61;61;1;horiz_line
8;14;112;1750;.223;.661;3.57;25;74;7;Text
9;174;1566;19333;.178;.737;1.71;279;1154;163;Text
8;45;360;5625;.156;.725;1.87;56;261;30;Text
7;27;189;3857;.101;.619;3.80;19;117;5;Text
1;9;9;9000;.778;1.00;7.00;7;9;1;Text
8;122;976;15250;.227;.650;1.44;222;634;154;Text
11;96;1056;8727;.331;.954;4.32;350;1007;81;Text
48;402;19296;8375;.055;.094;4.13;1058;1814;256;picture
304;463;140752;1523;.063;.121;3.91;8898;17081;2273;picture
10;20;200;2000;.435;.890;2.90;87;178;30;Text
9;97;873;10778;.466;.973;2.42;407;849;168;Text
9;21;189;2333;.354;.878;2.68;67;166;25;Text
9;80;720;8889;.338;.954;2.04;243;687;119;Text
11;85;935;7727;.250;.664;1.73;234;621;135;Text
9;76;684;8444;.363;.874;2.18;248;598;114;Text
8;2;16;.250;.563;.563;9.00;9;9;1;Text
9;33;297;3667;.259;.774;1.67;77;230;46;Text
9;120;1080;13333;.331;.859;1.98;358;928;181;Text
12;118;1416;9833;.253;.767;1.95;358;1086;184;Text
11;207;2277;18818;.268;.723;1.84;610;1647;332;Text
9;92;828;10222;.365;.954;2.20;302;790;137;Text
9;93;837;10333;.323;.888;2.06;270;743;131;Text
9;43;387;4778;.377;.922;2.25;146;357;65;Text
3;213;639;71000;.318;.379;11.94;203;242;17;horiz_line
306;465;142290;1520;.055;.123;2.69;7861;17452;2925;picture
45;79;3555;1756;.087;.195;4.81;308;693;64;picture
7;9;63;1286;.333;.492;21.00;21;31;1;Text
3;7;21;2333;.619;.619;13.00;13;13;1;Text
1;152;152;152.00;.822;1.00;11.36;125;152;11;horiz_line
1;51;51;51000;.471;1.00;2.40;24;51;10;horiz_line
6;17;102;2833;.275;.824;2.00;28;84;14;Text
6;22;132;3667;.197;1.00;2.89;26;132;9;Text
6;29;174;4833;.293;.920;1.50;51;160;34;Text
5;46;230;9200;.278;.835;2.21;64;192;29;Text
5;30;150;6000;.160;.660;1.71;24;99;14;Text
4;16;64;4000;.391;.938;1.67;25;60;15;Text
7;45;315;6429;.200;.775;1.91;63;244;33;Text
7;27;189;3857;.238;.741;2.81;45;140;16;Text
10;122;1220;12200;.273;.540;2.03;333;659;164;Text
11;49;539;4455;.343;.666;4.30;185;359;43;Text
11;35;385;3182;.335;.584;4.78;129;225;27;Text
19;462;8778;24316;.523;.688;16.88;4591;6035;272;horiz_line
10;38;380;3800;.434;.892;2.89;165;339;57;Text
9;36;324;4000;.552;.926;3.51;179;300;51;Text
10;98;980;9800;.448;.881;2.74;439;863;160;Text
9;21;189;2333;.529;.958;3.33;100;181;30;Text
10;49;490;4900;.551;.943;3.07;270;462;88;Text
1;49;49;49000;.286;1.00;7.00;14;49;2;Text
1;52;52;52000;.981;1.00;51.00;51;52;1;horiz_line
1;52;52;52000;.538;1.00;14.00;28;52;2;horiz_line
10;24;240;2400;.267;.821;2.06;64;197;31;Text
9;36;324;4000;.420;.889;2.00;136;288;68;Text
9;21;189;2333;.392;.899;2.74;74;170;27;Text
9;78;702;8667;.349;.863;2.17;245;606;113;Text
11;67;737;6091;.331;.844;2.28;244;622;107;Text
10;33;330;3300;.367;.864;1.95;121;285;62;Text
10;79;790;7900;.385;.880;2.13;304;695;143;Text
10;80;800;8000;.314;.799;2.06;251;639;122;Text
11;97;1067;8818;.297;.666;2.40;317;711;132;Text
9;82;738;9111;.389;.920;2.33;287;679;123;Text
9;69;621;7667;.343;.876;1.75;213;544;122;Text
12;84;1008;7000;.282;.778;1.91;284;784;149;Text
9;82;738;9111;.379;.879;2.35;280;649;119;Text
10;11;110;1100;.373;1.00;1.58;41;110;26;Text
10;63;630;6300;.294;.895;2.20;185;564;84;Text
11;102;1122;9273;.289;.829;1.87;324;930;173;Text
9;82;738;9111;.385;.935;2.29;284;690;124;Text
22;26;572;1182;.283;.918;1.93;162;525;84;Text
22;47;1034;2136;.319;.753;2.13;330;779;155;Text
10;53;530;5300;.340;.900;1.82;180;477;99;Text
10;40;400;4000;.338;.878;1.90;135;351;71;Text
8;82;656;10250;.288;.997;1.99;189;654;95;Text
10;34;340;3400;.356;.803;1.83;121;273;66;Text
9;81;729;9000;.348;.927;2.21;254;676;115;Text
11;13;143;1182;.420;.979;2.22;60;140;27;Text
11;8;88;.727;.250;1.00;2.44;22;88;9;Text
11;43;473;3909;.334;.875;2.47;158;414;64;Text
9;75;675;8333;.396;.914;2.21;267;617;121;Text
11;86;946;7818;.283;.764;1.91;268;723;140;Text
1;33;33;33000;1.00;1.00;33.00;33;33;1;horiz_line
1;124;124;124.00;.444;1.00;7.86;55;124;7;horiz_line
1;75;75;75000;.920;1.00;11.50;69;75;6;horiz_line
9;6;54;.667;.500;.593;13.50;27;32;2;Text
10;64;640;6400;.514;.966;2.84;329;618;116;Text
9;36;324;4000;.611;.926;3.36;198;300;59;Text
9;34;306;3778;.288;.641;2.10;88;196;42;Text
10;98;980;9800;.463;.945;2.72;454;926;167;Text
9;121;1089;13444;.356;.817;2.20;388;890;176;Text
11;100;1100;9091;.456;.882;3.04;502;970;165;Text
25;118;2950;4720;.268;.745;2.02;791;2198;392;Text
10;126;1260;12600;.456;.883;2.85;575;1113;202;Text
10;85;850;8500;.333;.696;2.28;283;592;124;Text
9;43;387;4778;.509;.959;3.58;197;371;55;Text
9;47;423;5222;.333;.757;2.39;141;320;59;Text
10;40;400;4000;.428;.895;3.05;171;358;56;Text
9;44;396;4889;.467;.944;3.14;185;374;59;Text
9;47;423;5222;.310;.780;2.34;131;330;56;Text
9;41;369;4556;.425;.962;2.71;157;355;58;Text
1;8;8;8000;.875;1.00;7.00;7;8;1;horiz_line
1;40;40;40000;1.00;1.00;40.00;40;40;1;horiz_line
1;55;55;55000;.564;1.00;10.33;31;55;3;horiz_line
9;39;351;4333;.293;.937;2.06;103;329;50;Text
14;340;4760;24286;.259;.592;2.45;1232;2819;503;Text
9;123;1107;13667;.395;.991;2.84;437;1097;154;Text
1;115;115;115.00;.200;1.00;4.60;23;115;5;horiz_line
10;131;1310;13100;.439;.845;2.79;575;1107;206;Text
1;11;11;11000;1.00;1.00;11.00;11;11;1;horiz_line
1;46;46;46000;.783;1.00;12.00;36;46;3;horiz_line
2;64;128;32000;.531;.586;17.00;68;75;4;horiz_line
7;47;329;6714;.271;.878;2.23;89;289;40;Text
8;27;216;3375;.218;.829;2.14;47;179;22;Text
7;17;119;2429;.412;.933;2.72;49;111;18;Text
8;59;472;7375;.322;.881;2.41;152;416;63;Text
8;47;376;5875;.362;.880;2.00;136;331;68;Text
8;32;256;4000;.336;.789;2.46;86;202;35;Text
8;16;128;2000;.477;.906;2.44;61;116;25;Text
4;115;460;28750;.426;.487;17.82;196;224;11;horiz_line
7;16;112;2286;.420;.768;2.14;47;86;22;Text
7;100;700;14286;.411;.849;1.83;288;594;157;Text
12;8;96;.667;.448;.656;4.30;43;63;10;Text
12;8;96;.667;.615;.969;5.90;59;93;10;Text
12;8;96;.667;.479;.500;46.00;46;48;1;Text
12;8;96;.667;.792;1.00;15.20;76;96;5;Text
12;7;84;.583;.560;1.00;5.22;47;84;9;Text
12;23;276;1917;.417;.623;8.21;115;172;14;Text
311;463;143993;1489;.088;.160;3.93;12631;23092;3212;picture
14;18;252;1286;.159;.607;3.33;40;153;12;Text
10;51;510;5100;.306;.855;2.29;156;436;68;Text
9;24;216;2667;.537;1.00;2.90;116;216;40;Text
10;22;220;2200;.336;.836;2.74;74;184;27;Text
9;37;333;4111;.538;.901;2.80;179;300;64;Text
37;101;3737;2730;.282;.695;2.44;1053;2596;432;Text
10;34;340;3400;.421;.906;2.01;143;308;71;Text
11;98;1078;8909;.317;.643;2.80;342;693;122;Text
12;83;996;6917;.301;.814;1.99;300;811;151;Text
34;114;3876;3353;.105;.301;2.59;406;1166;157;Text
12;101;1212;8417;.292;.792;1.99;354;960;178;Text
10;87;870;8700;.344;.901;2.27;299;784;132;Text
10;98;980;9800;.376;.861;2.10;368;844;175;Text
10;84;840;8400;.356;.849;2.47;299;713;121;Text
9;47;423;5222;.492;.948;2.42;208;401;86;Text
9;33;297;3667;.458;.983;2.19;136;292;62;Text
10;78;780;7800;.381;.856;2.52;297;668;118;Text
12;8;96;.667;.292;1.00;3.11;28;96;9;Text
12;43;516;3583;.357;.849;2.71;184;438;68;Text
11;86;946;7818;.332;.808;2.20;314;764;143;Text
9;5;45;.556;.711;.889;10.67;32;40;3;Text
12;146;1752;12167;.091;.128;26.67;160;225;6;picture
17;2;34;.118;.706;.706;24.00;24;24;1;vert_line
9;7;63;.778;.349;.683;2.20;22;43;10;Text
8;21;168;2625;.310;.744;1.68;52;125;31;Text
9;121;1089;13444;.399;.843;2.40;434;918;181;Text
11;118;1298;10727;.348;.797;2.71;452;1035;167;Text
10;37;370;3700;.354;.708;3.20;131;262;41;Text
10;47;470;4700;.336;.628;2.26;158;295;70;Text
11;92;1012;8364;.361;.851;2.30;365;861;159;Text
10;21;210;2100;.362;.819;2.11;76;172;36;Text
9;47;423;5222;.371;.865;2.75;157;366;57;Text
9;41;369;4556;.507;.992;3.28;187;366;57;Text
10;18;180;1800;.511;.872;2.97;92;157;31;Text
9;47;423;5222;.385;.917;2.51;163;388;65;Text
9;41;369;4556;.444;.976;2.88;164;360;57;Text
9;45;405;5000;.425;.938;2.77;172;380;62;Text
1;48;48;48000;.875;1.00;10.50;42;48;4;horiz_line
1;29;29;29000;.586;1.00;2.13;17;29;8;horiz_line
1;17;17;17000;.412;1.00;1.75;7;17;4;horiz_line
8;46;368;5750;.318;.818;2.09;117;301;56;Text
